Main actor FB likes,Total cast FB likes,Num voted users,Num Reviews (Users),Num Reviews (Critics),Movie FB likes,Gross,Budget,Duration,Imdb score,Title year
907,2471,28257,151,211,11000,25863915,35000000,101,5.1,2012
8000,10938,164608,383,224,10000,35063732,32000000,98,6.4,2007
2000,4868,36666,144,97,0,30222640,25000000,94,5.3,2003
11000,13877,461609,1168,302,34000,27000000,28000000,117,8.2,1982
40000,41636,124765,541,208,0,31598308,35000000,122,6.8,2001
510,1976,19176,165,95,956,33927476,40000000,110,5.7,1997
11000,13495,1689764,4144,199,108000,28341469,25000000,142,9.3,1994
20000,20798,19709,167,92,0,27338033,23000000,97,6.1,2001
2000,4059,47297,86,138,16000,42385520,30000000,107,6.2,2010
510,1976,19176,165,95,956,33927476,40000000,110,5.7,1997
11000,12785,9283,112,64,592,23209440,30000000,127,7,1998
913,2449,97087,569,144,11000,27400000,40000000,177,6.6,1984
11000,13189,136673,281,324,10000,31838002,20000000,128,7.6,2008
731,1987,77935,122,220,0,37053924,28000000,83,6.1,2011
3000,3757,39357,113,159,14000,28831145,25000000,110,6.8,2014
14000,28927,136093,416,303,24000,42615685,40000000,136,6.1,2014
8000,10938,164608,383,224,10000,35063732,32000000,98,6.4,2007
18000,20772,23579,88,44,0,24048000,30000000,106,5.5,1995
1000,3389,6476,71,98,0,30920167,25000000,118,5.7,2012
860,2609,136048,700,233,0,32774834,30000000,98,7.2,2004
2000,4045,81866,510,168,0,44983704,31000000,118,7.3,2000
869,3854,88518,409,111,0,38232624,30000000,86,2.7,2008
20000,34011,304318,463,360,52000,37553932,40000000,109,6.7,2011
1000,4537,15046,80,44,638,37788228,35200000,95,5.4,2003
141,389,12276,117,122,21000,36874745,20000000,107,6.3,2016
446,966,8143,203,122,0,37617947,30000000,101,6.8,2006
125,189,105797,281,292,0,29975979,20000000,98,6.5,2009
2000,4662,54242,145,156,14000,34290142,19800000,103,6.6,2014
20000,77823,84357,252,169,0,26814957,35000000,115,6.7,2008
26000,28643,166610,211,230,0,36064910,45000000,111,6.4,2008
26000,28643,166610,211,230,0,36064910,45000000,111,6.4,2008
12000,37570,56509,227,77,0,44175394,36000000,155,7.2,1997
1000,2965,20688,47,25,0,35617599,45000000,96,5.9,1995
11000,11248,243799,908,285,0,34300771,25000000,143,7.5,2006
618,1095,58297,161,112,0,21835784,30000000,107,6.6,2005
955,5404,44816,259,148,0,37036404,30000000,128,6.4,2000
3000,4565,12093,188,100,394,29374178,40000000,107,5.1,2000
11000,11248,243799,908,285,0,34300771,25000000,143,7.5,2006
585,1165,26066,216,69,0,40118420,30000000,104,5.6,2002
14000,16125,34427,126,44,0,31600000,28000000,139,6.9,1995
18000,19689,31751,216,91,0,25078937,30000000,155,6.6,1997
18000,23344,27378,365,122,0,33000377,28000000,99,4.9,2000
970,3770,30667,234,98,0,39177215,38000000,115,5.6,2002
919,2024,113068,337,166,0,37567440,20000000,129,6.9,1982
10000,13371,44788,138,219,23000,34531832,35000000,123,7.1,2015
2000,3917,11212,94,69,874,36985501,26000000,94,5.2,2002
13000,16031,52888,175,248,0,33313582,21000000,108,6.5,2009
2000,3753,25346,167,110,470,30199105,40000000,116,5.7,2000
18000,23920,95860,660,157,16000,33508922,40000000,123,7.2,2000
31000,34319,50337,177,153,13000,32014289,20000000,88,3.5,2013
31000,34319,50337,177,153,13000,32014289,20000000,88,3.5,2013
13000,16031,52888,175,248,0,33313582,21000000,108,6.5,2009
14000,16125,34427,126,44,0,31600000,28000000,139,6.9,1995
49000,50927,87331,364,148,18000,31655091,30000000,114,7.5,2007
21000,33433,355137,1108,329,0,292000866,150000000,138,7.5,2007
11000,13191,444683,1571,258,16000,317557891,125000000,159,7.5,2001
34000,81385,166137,383,389,38000,281666058,160000000,137,6.6,2015
10000,13076,530870,1413,323,11000,256386216,150000000,104,7.2,2007
13000,17689,338087,814,476,61000,93050117,115000000,109,6.6,2013
2000,4046,100821,554,102,0,100685880,120000000,107,4.8,2003
622,1227,152601,156,191,0,124870275,100000000,90,7,2009
10000,12175,229823,504,436,31000,113165635,125000000,135,6.7,2012
2000,4270,292022,1103,200,10000,108638745,92000000,152,7.7,2001
10000,12546,399651,1331,252,0,132014112,102000000,145,7.7,2002
11000,19359,284852,627,198,0,125531634,110000000,125,6.4,2004
558,2039,128285,297,141,0,89296573,100000000,78,7.3,2000
8000,14024,141179,419,217,9000,88761720,95000000,118,5.9,2010
2000,4842,102933,230,80,0,100117603,100000000,91,6.9,1996
26000,87697,995415,1722,703,123000,623279547,220000000,173,8.1,2012
23000,26527,58416,301,160,0,70327868,46000000,99,5.9,2000
931,2287,126746,600,231,0,89706988,55000000,98,6.2,2005
11000,20440,63493,302,213,26000,80574010,60000000,140,5.7,2010
8000,9176,47573,343,142,881,93607673,48000000,102,5.7,2001
1000,6207,56741,515,160,1000,70117571,58000000,103,6.4,1998
12000,14007,43328,110,166,0,67128202,65000000,98,5.7,2009
18000,30383,91176,130,64,0,67823573,50000000,127,6.6,1995
309,647,143121,279,310,10000,75280058,60000000,100,7.7,2009
940,4230,85720,297,142,0,83892374,66000000,121,7,1998
1000,3986,283480,263,111,0,87666629,40000000,118,7.4,1990
833,4001,154955,800,355,25000,83552429,70000000,116,5.8,2011
11000,13321,79264,277,252,13000,94125426,40000000,123,7,2009
17000,18141,206104,850,233,0,95308367,48000000,112,6.8,2002
33000,57426,375456,292,310,44000,84244877,50000000,118,7.4,2011
426,1761,34471,147,55,0,81022333,50000000,109,5,1995
25000,26998,123558,609,213,19000,71423726,45000000,102,7.3,1999
5000,7184,68417,242,114,0,93815117,55000000,105,5.1,2002
1000,4660,73068,419,152,0,69304264,48000000,113,6.8,1999
14000,20761,97047,452,171,0,75530832,55000000,156,6.8,1999
11000,14931,65297,602,178,0,77086030,62000000,116,6.6,2000
1000,4660,73068,419,152,0,69304264,48000000,113,6.8,1999
10000,14006,60476,97,60,0,82670733,60000000,107,5.9,1990
789,2986,60572,144,40,0,68208190,65000000,93,6.3,1999
309,647,143121,279,310,10000,75280058,60000000,100,7.7,2009
18000,19148,273108,646,230,0,88504640,45000000,129,7.6,2006
16000,31005,16059,210,81,0,6241697,13000000,94,6.1,1999
2000,4810,16445,99,111,0,26345,3000000,112,6.1,2012
447,923,55040,539,251,0,3645438,2200000,89,6.8,2003
71,226,27346,206,160,0,1984378,2000000,101,6.5,2006
126,284,4117,118,88,0,110536,40000,90,7,2001
17000,30978,6723,36,60,1000,317040,15500000,102,6.8,2008
436,1141,15412,90,81,0,8134217,12000000,109,7,2008
2000,2658,70336,269,663,31000,12784397,1800000,93,7.3,2012
638,822,30479,162,195,16000,4231500,1000000,104,7.8,2013
353,380,475,11,8,123,2712293,450000,91,5.9,1991
834,4091,5463,20,35,140,4131640,7500000,97,3.1,2008
10000,13160,10735,88,30,561,3275585,11500000,100,6.6,1993
302,663,4743,135,59,219,2073984,800000,88,7.2,2002
262,509,3228,31,71,244,10018,1000000,78,6.1,2006
18000,20135,1686,28,12,161,12836,4000000,92,5.8,1997
503,731,7584,137,101,0,9000000,900000,109,6.2,1970
420,1215,20275,151,116,0,864959,4000000,101,6.9,2005
3000,6485,3116,39,39,251,5871603,13000000,99,6,1999
10000,12897,32382,99,163,13000,2445646,5000000,112,7,2014
624,1209,12366,151,81,507,1980338,5000000,116,7,1998
27000,29277,134070,263,149,0,2338695,4000000,105,7.4,2004
54,185,720,23,13,30,5199,200000,109,6.6,2004
11000,11328,45396,136,231,15000,9203192,5000000,99,6.8,2011
711,1462,52805,278,88,0,11883495,9000000,99,6.8,1998
378,1173,14018,190,110,682,7022940,1000000,97,6.7,2001
953,2510,6000,109,75,595,5844929,3000000,90,7,2002
938,3770,13421,34,115,0,1243961,850000,88,6,2012
925,3559,22697,202,50,0,2892582,4000000,84,7.6,1996
117,155,12244,95,67,0,313436,15500000,89,7.6,2001
497,776,16224,76,121,830,2426851,4000000,93,6.5,2007
74,216,170155,249,349,60000,610968,3800000,115,8.3,2012
963,1754,70194,158,242,14000,4443403,7300000,89,8,2007
10000,13718,6632,69,37,225,326308,5000000,97,6.1,1996
876,1351,4996,62,21,843,1953732,15000000,98,5.3,1986
12000,14462,29608,92,217,0,66637,6500000,105,7.2,2009
402,1335,24412,240,111,944,3193102,9000000,89,7.1,1999
8000,10430,18286,73,34,0,12793213,6000000,104,6.2,1988
487,1495,4122,48,63,0,143000,5000000,88,4.1,2009
1000,1805,2582,89,38,0,594904,1200000,108,6,2012
4000,5668,11439,190,35,901,4394936,6000000,96,5.3,1999
245,295,1976,51,16,603,982214,1000000,100,7.2,1998
702,2007,3624,27,65,313,2955039,9000000,95,6.2,2007
861,2161,1573,29,18,285,379643,2200000,117,5.9,2007
378,1173,14018,190,110,682,7022940,1000000,97,6.7,2001
419,975,6705,53,43,167,302204,3000000,99,6.6,1997
730,1208,18762,91,114,708,1325073,4000000,96,6.6,2005
769,2251,67949,390,163,15000,4046737,4000000,104,7.1,2002
435,1140,19715,166,111,515,13367101,6500000,88,5.9,2006
678,1557,70382,190,447,33000,225377,8900000,127,7.9,2012
40000,43810,31089,261,254,20000,1821983,3000000,102,5.4,2014
980,3166,3479,87,54,180,985341,500000,111,7.3,1999
3000,4729,12796,52,193,0,59379,200000,88,6.8,2013
24,29,26832,247,94,0,9473382,10000000,130,7.7,1998
906,4725,4995,34,20,160,5561,10000000,93,3.9,2007
990,2820,26720,196,120,920,4306697,5000000,112,7.7,1997
639,1807,3665,57,43,0,5669081,10818775,145,6.6,2012
603,988,20008,112,79,883,578527,10000000,107,5.7,2008
50,65,168398,492,211,13000,5792822,2700000,80,8,2004
969,2530,11816,35,113,0,389804,65000,98,6.3,2010
710,2119,16299,129,74,1000,49526,6800000,108,7,2005
97,382,4195,50,17,0,3273588,6000000,99,6.7,1993
861,2161,1573,29,18,285,379643,2200000,117,5.9,2007
402,787,5744,57,61,381,9054736,2700000,113,7.1,1997
19000,20132,66840,248,177,0,10515579,4000000,96,6.7,2006
149,251,8161,94,81,484,112935,9000000,121,7.6,2002
88,173,7143,52,71,865,2938208,225000,98,7.5,1990
1000,4755,23383,68,58,1000,6739141,8000000,95,5.9,1992
963,2658,31836,90,78,0,37606,3500000,95,6.8,2009
398,569,26156,74,152,0,128486,10000000,135,7.3,2008
2000,3374,56005,112,182,0,4244155,10000000,83,6.5,2011
23000,24270,84641,205,198,0,5484375,10000000,120,7.3,2006
331,387,9913,38,64,0,146402,4000000,113,7.7,2002
1000,2691,9427,79,60,462,5480318,5000000,91,6.6,1998
18000,19404,260607,485,415,47000,5009677,5000000,97,7.9,2009
8000,9608,5159,27,32,143,127144,8000000,99,5.5,2005
1000,2319,10082,100,70,0,3500000,2700000,93,5.9,1986
474,920,480,21,9,47,703,1500000,96,5.4,2001
919,2288,531,19,18,51,13493,600000,90,6.6,1998
400,1330,6041,85,71,169,4186931,250000,91,6.9,2001
893,3049,3080,44,43,117,226792,10000000,86,6.2,2001
15000,17040,580999,2110,283,33000,727883,4500000,133,8.1,2001
262,778,12631,63,53,0,13300000,600000,215,8.1,1970
711,1462,52805,278,88,0,11883495,9000000,99,6.8,1998
140,328,95362,270,405,62000,8114507,3000000,109,7.9,2013
552,2251,2038,20,29,898,1332,500000,87,4.6,2012
883,1934,39680,308,114,0,8373585,7000000,164,7.6,1988
953,2510,6000,109,75,595,5844929,3000000,90,7,2002
591,1341,23441,108,46,0,10161099,9000000,137,7.7,1989
7000,9660,5863,25,133,0,532988,7000000,103,6.5,2015
918,2334,248354,564,192,14000,5501940,13500000,178,8.3,2004
14000,14574,50197,265,93,0,3049135,5000000,108,7.4,1994
736,1403,1398,26,34,132,75078,14000000,103,6.3,2000
141,313,10564,40,84,0,274661,1000000,53,7.7,2007
376,1144,5178,101,91,132,2882062,150000,78,6.3,2000
798,1430,19194,160,47,0,104257,2200000,99,7.1,1999
400,1330,6041,85,71,169,4186931,250000,91,6.9,2001
250,454,1489,40,9,133,902835,250000,100,6.7,2001
786,1674,8369,165,52,957,2483955,9600000,144,6.7,2005
599,1030,1238,25,20,117,39852,3000000,97,6.7,1999
845,1554,16863,57,123,0,548934,12000000,111,6.8,2009
16000,17469,24958,103,17,321,126247,6200000,83,3.3,1994
1000,1528,42678,135,279,0,258113,1066167,90,7.1,2013
24000,51355,59637,130,216,21000,11434867,6000000,102,7.1,2012
628,4249,744,19,10,1000,444044,1900000,89,7.2,2015
3000,9555,18711,183,49,0,3071947,3500000,87,5.4,1999
49000,50831,13086,156,125,576,7825820,4000000,81,5.9,2006
13000,13000,15104,290,103,0,236266,3500000,103,6.2,2002
1000,2697,13010,182,67,0,6851636,6000000,101,5.9,1999
93,315,5164,65,29,207,9628751,5000000,82,5.9,2000
1000,1211,533200,749,214,28000,7563397,3300000,135,8.7,2002
17000,18947,29341,93,149,0,3588432,6000000,106,6.7,2014
835,2110,32357,199,92,3000,410241,2000000,106,6.8,2002
548,2389,4894,122,60,298,1420578,1900000,103,6.4,2003
706,1579,6454,43,38,0,860002,12000000,100,7.3,2005
172,378,5772,115,75,302,399879,15000000,118,6.4,2006
710,2119,16299,129,74,1000,49526,6800000,108,7,2005
834,4091,5463,20,35,140,4131640,7500000,97,3.1,2008
953,2510,6000,109,75,595,5844929,3000000,90,7,2002
859,3942,21416,198,59,0,6157157,5000000,150,7,1989
886,5139,1231,26,33,49,6491350,10000000,74,5.8,2004
2000,4343,2877,70,31,111,399793,4000000,106,5.4,1999
812,3337,6921,48,48,344,1227324,12500000,99,6.6,1996
8000,11327,8662,172,108,134,2506446,2000000,101,4.7,2002
433,1291,20000,188,132,0,6754898,12000000,122,6.2,2006
12000,14462,29608,92,217,0,66637,6500000,105,7.2,2009
503,731,7584,137,101,0,9000000,900000,109,6.2,1970
58,62,586,9,29,0,155984,160000,93,7.4,2009
130,198,9540,80,149,14000,4946250,1000000,91,7.4,2013
503,731,7584,137,101,0,9000000,900000,109,6.2,1970
14000,17665,5936,91,49,242,1631839,10000000,101,5.7,2000
2000,2459,910,11,16,0,2833383,427000,80,5.7,2012
11000,20009,7228,53,50,414,101228,3500000,98,6.4,2005
2000,4343,2877,70,31,111,399793,4000000,106,5.4,1999
1000,4762,36657,318,106,0,2365931,1500000,110,7.5,1998
33000,35941,141425,283,377,25000,9701559,3500000,112,7.4,2010
422,1899,36381,126,337,11000,5997134,1000000,95,7.2,2012
159,417,7277,181,64,231,3100650,14000000,84,3.9,2001
378,1173,14018,190,110,682,7022940,1000000,97,6.7,2001
1000,1292,12047,122,78,677,1779284,12000000,104,7.1,2002
53,86,2482,16,31,0,287761,1000000,91,7.6,2013
374,1283,8307,37,129,5000,3093491,5000000,103,6.6,2014
60,132,3548,21,36,282,223878,5000000,125,6.5,2003
16000,17250,524,8,2,76,1000000,14000000,127,6.5,1978
963,3543,23660,162,128,0,3076425,8000000,111,7.1,2002
93,168,1123,31,4,638,425899,400000,92,5.1,2010
138,388,6375,36,36,265,10246600,25000,98,6.6,1995
934,2714,101287,260,271,31000,4007792,750000,86,7,2012
1000,4815,8265,20,49,545,10017041,3000000,84,5.9,2009
10000,12897,32382,99,163,13000,2445646,5000000,112,7,2014
1000,4856,7904,113,74,562,13350177,5000000,82,3.8,2008
426,862,5699,40,47,0,75727,2500000,90,5.9,2008
61,75,22811,71,118,11000,686383,6500000,75,7.7,2009
18000,19404,260607,485,415,47000,5009677,5000000,97,7.9,2009
1000,2158,18561,119,158,0,2344847,7000000,99,6.8,2008
12000,25550,264183,665,469,30000,172051787,170000000,125,6.8,2010
22000,22697,149922,438,258,0,141614023,225000000,150,6.6,2008
12000,25549,264186,665,469,30000,172051787,170000000,125,6.8,2010
10000,12285,383784,331,100,12000,172825435,25000000,133,8,1988
10000,13159,97697,185,221,40000,183436380,29000000,115,6.5,2015
559,2702,119928,331,349,76000,161029270,28000000,167,7.9,2015
13000,25964,240962,724,493,36000,171031347,38000000,110,7.7,2010
11000,13357,213668,270,119,0,183875760,44000000,130,7.8,1993
503,1862,215340,706,157,16000,198655278,3977000,226,8.2,1939
722,3229,218711,485,371,27000,169076745,32500000,131,6.8,2011
15000,19046,623757,391,166,0,191796233,30000000,74,8.3,1995
17000,21863,243053,488,238,0,80170146,85000000,88,6.1,2008
12000,16930,82731,255,151,0,47592825,85000000,104,6.7,2003
24000,36925,67856,345,140,0,67286731,100000000,136,6.7,2004
3000,5062,58227,181,84,2000,47474112,90000000,104,5.4,1997
12000,16235,115687,269,245,21000,72660029,100000000,101,6,2014
40000,80849,199039,479,526,82000,79711678,100000000,113,6.2,2012
14000,27405,60370,264,156,0,74158157,79000000,91,3.4,2011
13000,14261,44143,216,106,4000,73215310,80000000,83,7,2002
660,2031,221521,1049,192,0,54700065,105000000,129,7.2,1997
12000,16138,350698,816,235,26000,66257002,70000000,125,8,2003
2000,3372,58300,139,82,0,50802661,95000000,89,6.9,2000
49000,55254,87785,362,93,0,58220776,100000000,132,6.8,1999
1000,4714,141533,786,202,0,66462600,78000000,110,5.8,2003
15000,15850,143525,657,262,0,62647540,70000000,125,7.1,2005
10000,14160,182910,630,492,60000,58607007,100000000,117,6.2,2014
4000,6081,65270,100,107,863,84303558,85000000,83,6.2,2006
713,3421,34620,107,129,0,40041683,2500000,86,5.1,2013
1000,3023,65512,478,149,0,41867960,20000000,91,5.5,2001
10000,14159,45603,268,264,0,51527787,15000000,101,5.5,2009
924,4109,29323,344,61,0,46300000,9400000,197,7.6,1963
723,3492,111087,319,190,0,63270259,10000000,96,5.9,2007
939,3276,86956,275,323,12000,47536959,10000000,109,7.3,2009
15000,18789,63969,126,129,0,48237389,25000000,97,5.5,2008
29000,33791,167750,506,106,10000,46338728,14500000,120,6.8,1996
3000,7833,6276,55,63,16000,61693523,13000000,109,6.8,2016
463,1958,41509,300,311,0,40990055,1800000,87,5.6,2010
818,2164,3407,48,52,309,37566230,17000000,87,5.1,2003
969,2987,63855,248,98,0,57469179,11500000,103,6.6,1989
1000,2851,18915,87,61,33000,42652003,20000000,111,6.8,2015
699,936,21409,63,18,0,54215416,6500000,108,6.8,1987
13000,17035,42892,154,63,0,63071133,12000000,81,6.8,1996
463,1958,41509,300,311,0,40990055,1800000,87,5.6,2010
22000,24783,728685,989,192,25000,46836394,25000000,146,8.7,1990
500,2020,57479,205,97,0,56127162,18000000,95,5.4,2003
456,1326,76477,275,112,0,46800000,14000000,123,7.1,1977
326,486,85333,421,280,0,56437947,9800000,94,7.3,2006
742,2457,36253,92,49,0,44455658,25000000,98,6.7,1997
500,2020,57479,205,97,0,56127162,18000000,95,5.4,2003
2000,5161,299127,1509,287,0,55153403,1200000,103,7.7,2004
394,673,125016,789,543,70000,54239856,17000000,96,6.5,2013
18000,20795,85362,181,81,0,40485039,10000000,90,6.9,1989
14000,16606,203111,755,408,32000,51533608,25000000,117,6.8,2011
244,1105,74249,276,120,0,43800000,7200000,120,6.7,1971
276,903,73193,190,77,0,39025000,11000000,122,7.6,1995
1000,2376,76094,233,354,37000,37707719,12000000,98,7.6,2013
803,1921,15664,149,112,0,38916903,13000000,91,5.8,2014
1000,3066,225102,862,197,16000,45506619,26000000,107,7.8,2000
1000,2297,12676,84,58,0,52543632,13200000,84,5.6,2014
11000,11946,139749,509,462,29000,54322273,17000000,95,6.4,2012
22000,40117,69576,207,131,2000,44886089,10000000,120,6.9,1997
1000,1964,4687,83,53,290,38168022,3000000,115,6.6,2000
427,952,23480,83,113,21000,44469602,17000000,129,7.4,2015
2000,5161,299127,1509,287,0,55153403,1200000,103,7.7,2004
506,1266,37479,152,94,0,58156435,19000000,95,5.9,2004
394,673,125016,789,543,70000,54239856,17000000,96,6.5,2013
2000,5122,35130,283,62,0,54800000,6000000,124,7.8,1980
12000,15800,64748,122,238,12000,42919096,15000000,112,6.5,2013
2000,5024,35514,114,110,15000,43853424,18000000,106,7.1,2011
1000,1531,34219,578,111,0,37188667,12000000,93,3.3,2002
273,727,427357,1736,285,24000,56715371,12000000,161,8.3,1968
833,2800,16979,42,90,0,48637684,12500000,100,6.1,2014
26000,92000,462669,1117,635,118000,458991599,250000000,141,7.5,2015
979,1766,106416,205,338,22000,65171860,195000000,114,6.3,2013
613,1205,168207,684,244,0,93926386,150000000,138,7.4,2003
14000,16184,152826,253,310,19000,83640426,150000000,99,5.8,2012
87000,108016,115099,257,186,2000,100289690,175000000,96,5.4,2007
16000,17657,223393,550,436,24000,116593191,200000000,123,5.6,2011
5000,6434,1215718,3189,328,16000,377019252,94000000,192,8.9,2003
14000,16277,325264,916,490,112000,350123553,58800000,133,7.3,2014
14000,32438,682155,1097,653,96000,333130696,170000000,121,8.1,2014
40000,79957,306320,736,451,24000,334185206,200000000,108,6.5,2010
24000,43388,411164,1303,300,0,373377893,200000000,135,7.3,2004
14000,32438,682155,1097,653,96000,333130696,170000000,121,8.1,2014
177,253,190490,482,226,26000,2208939,50000000,147,7.5,2006
26000,26564,38398,368,140,0,4535117,60000000,156,3.8,2007
219,661,89568,142,152,17000,8129455,45000000,101,6.3,2011
10000,11769,126307,210,292,19000,7689458,40000000,123,6.8,2009
1000,3096,46205,147,78,0,9652000,40000000,89,5.8,2003
545,1149,15130,98,61,565,4777007,40000000,84,5.8,2001
865,2972,5917,50,76,177,5881504,39000000,110,5.3,2004
12000,13040,53028,382,163,0,16640210,55000000,121,6.8,1999
1000,2535,26126,325,158,0,19294901,35000000,99,5,2005
879,949,36455,229,189,0,6565495,45000000,114,7,2006
971,1643,114241,258,376,24000,12026670,45000000,107,6.4,2013
11000,15275,35599,195,115,641,22362500,55000000,122,6.1,1999
1000,2535,26126,325,158,0,19294901,35000000,99,5,2005
3000,3142,28130,215,105,0,18306166,35000000,125,6.5,2002
743,2367,16260,88,56,296,12065985,60000000,114,4.9,1998
18000,23122,23916,50,135,0,13101142,35000000,105,5.7,2012
849,2457,3803,41,24,68,2154540,45000000,103,4.9,1997
734,2085,34809,125,108,11000,7204138,41000000,100,6.2,2011
107,362,125198,153,258,11000,18600911,42000000,102,6.6,2012
226,405,62607,239,186,0,6167817,47000000,133,7.7,2004
690,1993,2189,31,24,0,6448817,35000000,101,4.6,1997
1000,1564,23072,89,90,0,10214013,35000000,91,5.4,2015
11000,32875,41170,298,227,0,14998070,35000000,92,6.2,2007
13000,18085,45775,112,74,462,16323969,40000000,98,5.5,2004
3000,5329,60232,110,161,0,17281832,60000000,106,6.1,2008
5000,5405,91863,524,156,14000,24343673,45000000,133,7.4,2007
226,405,62607,239,186,0,6167817,47000000,133,7.7,2004
40000,42683,47320,188,181,12000,7605668,60000000,107,5.5,2015
2000,6161,88682,241,302,0,18593156,35000000,122,7.7,2008
783,3126,13830,61,12,680,24332324,40000000,128,6.1,1994
40000,52621,45497,260,107,1000,10654581,34000000,109,5.3,1999
991,1003,8087,33,67,1000,1027749,40000000,125,7.1,2008
11000,12286,181472,514,488,58000,4563029,39200000,126,7,2013
746,2393,12375,194,95,846,14378353,36000000,127,6.8,1999
13000,14165,14962,204,112,704,7659747,38000000,102,5.1,2003
11000,12239,247020,835,293,50000,6105175,44000000,112,6.6,2014
6000,7654,80196,190,245,0,25450527,50000000,118,6.5,2009
11000,12786,3077,47,79,10000,20389967,50000000,139,6.7,2016
13000,14619,45729,176,178,0,10539414,47000000,81,4.7,2010
15000,15638,20201,187,66,823,652526,40000000,93,5.1,2006
687,1134,29861,132,98,505,22108977,41000000,108,5.2,2003
12000,13040,53028,382,163,0,16640210,55000000,121,6.8,1999
11000,11972,15880,93,75,288,6471394,50000000,88,4.9,2004
15000,15638,20201,187,66,823,652526,40000000,93,5.1,2006
