Main actor FB likes,Total cast FB likes,Num voted users,Num Reviews (Users),Num Reviews (Critics),Movie FB likes,Gross,Budget,Duration,Imdb score,Title year
879,1344,86374,392,209,3000,27667947,50000000,131,6.2,2007
746,2393,12375,194,95,846,14378353,36000000,127,6.8,1999
20000,21397,452928,1401,290,0,157299717,75000000,104,7.4,2000
8000,12790,74274,255,103,0,152149590,70000000,116,5.5,1999
1000,5437,328159,467,193,3000,176387405,59000000,103,7.6,2002
11000,23603,146134,393,142,0,172620724,85000000,124,6.4,1997
22000,25354,145321,139,233,14000,161317423,95000000,88,6.6,2012
835,1258,166791,132,188,0,196573705,90000000,94,7,2009
1000,5437,328159,467,193,3000,176387405,59000000,103,7.6,2002
13000,22813,127345,250,166,0,155019340,80000000,83,6.8,2006
11000,13693,130070,316,134,0,158115031,82000000,113,6.4,2005
15000,28631,321227,1067,495,41000,202853933,200000000,142,6.7,2014
15000,28489,451803,1225,599,56000,262030663,230000000,153,7,2012
15000,28631,321227,1067,495,41000,202853933,200000000,142,6.7,2014
12000,14863,235025,265,376,44000,268488329,200000000,104,7.3,2013
733,2753,63390,160,191,0,31990064,12000000,109,6.4,2015
935,2899,19331,317,112,949,15935068,2500000,91,4.3,1993
939,3107,9566,81,41,1000,28734552,16000000,130,6.4,2001
49000,52138,97938,605,207,0,31597131,12000000,96,6.8,2002
1000,2868,4345,26,22,575,23031390,4500000,104,5.6,1998
446,497,34232,346,149,0,20772796,6000000,101,7.6,2002
2000,4947,25344,77,111,0,22927390,18000000,109,5.6,2009
1000,1184,145580,351,252,0,17605861,6000000,121,7.7,2006
15000,18760,31323,76,98,0,23393765,20000000,104,6.3,2014
811,2167,23408,105,74,810,29302097,15000000,89,4.6,2004
3000,6317,52852,138,197,4000,27154426,17000000,132,6.7,2009
610,1441,2580,54,16,710,15369573,3000000,100,5.3,1990
469,2037,6304,87,32,403,20400000,8000000,144,6.9,1946
18000,19065,8295,30,23,720,16153600,10000000,129,6.5,1990
1000,2840,5975,33,9,0,17382982,5000000,106,5.2,2014
960,1749,60062,351,233,0,17427926,8000000,93,5.9,2008
799,4291,14656,90,37,0,13903262,11000000,89,6.3,2001
871,1111,9010,199,30,0,33349949,2500000,87,5.1,2012
584,3850,10966,100,62,365,23978402,11000000,86,4.6,2001
607,1611,19918,278,186,0,16235293,9000000,94,4.5,2006
773,2787,22161,68,83,0,28873374,10000000,106,4.1,2013
1000,5282,7569,65,35,978,20257000,7000000,96,5.2,1988
22000,22140,100571,416,271,0,28747570,7000000,110,7.4,2005
651,3119,90070,248,132,11000,16667084,11000000,96,7.1,1990
908,3226,36372,491,220,3000,33386128,15000000,119,4.9,2009
21000,22745,84070,526,351,0,31501218,7500000,93,7.5,2005
883,1565,111351,568,226,0,33565375,15000000,129,7.5,2005
655,2737,23928,73,89,441,20339754,10000000,84,5.9,2007
654,1876,78883,662,252,0,20433940,15000000,97,6.2,2005
15000,18760,31323,76,98,0,23393765,20000000,104,6.3,2014
1000,3300,17333,153,92,0,16017403,5000000,95,6.2,2001
18000,20821,740918,1182,162,28000,23272306,6000000,106,8.6,1995
13000,14890,121676,290,128,0,22905674,12000000,121,7.4,1998
3000,4257,32951,44,94,6000,23179303,20000000,109,5.8,2011
33000,34413,187170,376,417,47000,21383298,15000000,140,7.3,2012
1000,3590,25870,281,112,0,23078294,9000000,75,5.1,2006
296,1340,45102,316,167,0,35143332,17000000,104,5.6,2003
16000,19957,76467,236,91,0,16101109,3000000,94,6.8,2005
2000,5628,104089,319,273,16000,33583175,10000000,80,6.3,2010
742,1227,20815,335,123,0,15126948,5000000,93,4.9,1995
8000,10982,10777,79,58,671,13592872,11000000,84,5.1,2000
390,727,52467,248,190,0,23993605,18000000,86,5.8,2009
33000,34413,187170,376,417,47000,21383298,15000000,140,7.3,2012
26000,27572,237248,460,171,0,25296447,21000000,92,6.8,2002
848,1164,17068,215,50,0,33451479,500000,122,6.5,2008
232,825,9456,107,44,625,36000000,4000000,152,6.7,1952
383,1945,35131,255,282,16000,34334256,11000000,92,4.8,2013
972,2071,85688,339,336,23000,27689474,5000000,104,6.5,2013
11000,12946,19655,280,211,683,20338609,10000000,105,6.8,2006
363,1024,76791,100,164,0,26049082,8000000,94,6.1,2014
607,1611,19918,278,186,0,16235293,9000000,94,4.5,2006
12000,13576,69980,591,155,0,24362501,21500000,117,7.2,1999
116,525,12596,64,50,0,30127963,15000000,115,6.7,2014
544,1292,77987,120,181,0,27758465,19000000,101,6.1,2010
1000,3199,5971,60,37,0,27362712,8000000,109,6.5,2002
912,2682,13048,227,108,243,21468807,14000000,97,4.1,2000
1000,2515,16651,149,79,0,34099640,5000000,95,7,2000
2000,2447,36542,378,181,0,15854988,13500000,107,7.4,2002
16000,17568,87090,142,53,0,36500000,8000000,112,7.6,1979
426,1472,43485,327,138,0,30000000,2200000,87,5.4,1985
2000,3416,87494,540,191,0,15417771,12600000,84,6.1,2003
40000,42918,149285,668,256,10000,26505000,1800000,101,7.5,1984
2000,5440,26905,614,151,0,30259652,15000000,94,4.1,2002
3000,3677,189032,560,153,0,26384919,15000000,155,7.9,1997
45000,46868,13506,68,161,0,15152879,5000000,93,4,2013
155,259,48675,214,203,16000,27285953,5000000,103,6.8,2015
14000,18645,110616,291,323,16000,20803237,3500000,106,7.1,2010
383,1094,96410,826,277,0,30859000,83532,88,7.5,1974
220,276,13521,150,159,0,22757819,100000,81,4.2,2015
10000,11471,212167,713,274,0,28637507,15000000,100,7,2007
16000,19952,24969,258,148,0,20259297,20000000,90,4.7,2006
11000,12894,82327,350,331,18000,29959436,13000000,105,6.4,2011
220,276,13521,150,159,0,22757819,100000,81,4.2,2015
103,129,217740,1641,287,0,128067808,15000000,120,7.9,2000
12000,15449,61621,219,106,0,109713132,25000000,119,7.3,1986
3000,5547,160418,296,286,16000,100292856,20000000,97,5.7,2011
15000,20035,87665,323,304,41000,116631310,30000000,132,7.2,2013
12000,13184,887467,916,185,40000,130727000,19000000,138,8.6,1991
2000,4499,84325,205,122,0,112692062,35000000,88,5.4,2001
813,1520,51314,265,75,0,102922376,20000000,131,5.7,1978
103,129,217740,1641,287,0,128067808,15000000,120,7.9,2000
14000,28122,1155770,2238,208,43000,134821952,6000000,175,9.2,1972
34000,72115,533607,692,539,117000,132088910,21000000,122,7.8,2012
110,582,31260,152,75,0,105500000,4000000,94,6.2,1981
12000,13184,887467,916,185,40000,130727000,19000000,138,8.6,1991
20000,38072,551363,1140,669,106000,106952327,13000000,108,8,2010
925,1018,77724,162,157,26000,101978840,15000000,102,6.6,2013
1000,4701,95294,363,121,12000,119500000,2600000,93,7.8,1974
888,2176,680041,760,149,32000,112000000,4400000,133,8.7,1975
13000,16094,375240,542,141,0,117235247,960000,145,8.1,1976
18000,18669,353442,387,340,31000,117528646,35000000,106,6.9,2011
309,1062,364948,2121,245,0,139259759,150000000,129,6.7,2003
1000,2857,118951,1382,280,18000,131564731,150000000,103,4.2,2010
3000,5810,47900,130,196,11000,111505642,145000000,92,6.9,2014
10000,11945,317166,928,190,0,111110575,140000000,154,7.7,2003
29000,29770,362912,753,490,115000,144812796,105000000,143,7.3,2013
40000,43291,183208,337,362,26000,123207194,135000000,107,7.2,2011
2000,4528,190439,351,94,0,146282411,115000000,141,7.2,1994
3000,5811,326286,643,354,0,134518390,150000000,135,6.8,2008
49000,53587,67223,126,154,11000,113733726,127000000,98,6.2,2014
29000,29461,176169,548,118,0,39778599,50000000,119,6.6,2000
21000,36928,301279,589,377,12000,33048353,65000000,162,7.7,2007
8000,10623,41727,184,211,0,40559930,60000000,125,6.2,2009
1000,2151,10883,73,49,448,36830057,65000000,94,4.9,1999
16000,28045,136680,149,215,13000,37035845,52000000,118,6.4,2011
789,2318,35918,126,47,1000,50024083,60000000,92,5.4,1995
548,1044,81611,274,108,0,36976367,75000000,134,6,1998
20000,23051,172965,627,371,67000,31569268,49000000,120,6.9,2015
854,4530,68406,162,81,0,60573641,60000000,94,5.4,1996
374,1238,10132,130,82,390,36037909,60000000,94,4.7,2000
2000,2710,78343,139,60,0,51317350,57000000,103,6.4,1996
874,3151,40883,122,219,11000,50807639,60000000,96,6.8,2014
11000,12226,96385,119,76,0,37901509,70000000,136,7,1997
27000,29808,147641,238,241,18000,54758461,65000000,103,6.3,2012
834,3637,89816,347,196,0,53789313,60000000,119,6.3,2003
374,1238,10132,130,82,390,36037909,60000000,94,4.7,2000
14000,18216,133526,521,209,0,28965197,68000000,157,7.9,1999
23000,53024,107859,569,138,0,43060566,60000000,101,6.2,2002
11000,12871,72868,618,197,0,37760080,70000000,106,6.1,2004
5000,10247,107028,457,212,44000,31165421,60000000,130,6,2013
13000,14344,80140,323,315,16000,32741596,50000000,129,6.5,2010
10000,11424,227071,1500,280,10000,55637680,65000000,159,7.3,1999
539,1411,99035,289,313,17000,50549107,60000000,105,6.2,2014
509,1409,23940,157,117,688,38966057,65000000,143,6.7,1998
17000,19513,45580,102,156,18000,50150619,50000000,95,7.3,2014
45000,58528,62981,84,61,0,30306268,50000000,132,6.3,1995
13000,14036,44453,154,123,0,33828318,55000000,118,5.8,2003
45000,58528,62981,84,61,0,30306268,50000000,132,6.3,1995
324,1013,49300,265,134,892,32598931,65000000,135,6.2,2000
648,1937,138941,1448,156,0,36385763,52000000,215,7.6,1998
192,475,52136,184,64,0,61355436,68000000,116,6.2,1997
87000,101383,50170,306,171,773,48745150,50000000,105,5.8,2006
834,3637,89816,347,196,0,53789313,60000000,119,6.3,2003
966,2018,61966,207,81,797,50189179,60000000,98,5.3,2002
15000,20061,11257,65,98,0,33643461,50000000,87,4.2,2010
469,1548,25019,159,79,0,14500000,25000000,160,7.5,1970
11000,13021,136367,975,584,39000,13303319,32000000,139,6.7,2011
757,1201,15817,210,68,0,17174870,18000000,115,6.7,2000
1000,5705,15978,122,45,15000,6420319,20000000,106,7.4,2015
11000,17560,14281,64,126,0,11854694,31000000,106,6.5,2010
796,2633,55665,118,230,10000,13034417,15000000,111,6.9,2009
40000,56585,142416,420,148,0,5887457,18000000,127,7.9,1994
14000,28094,17982,95,29,1000,8600000,25000000,132,7,1984
22000,26050,149528,454,202,0,13060843,15000000,108,7.7,2002
991,2173,49888,220,173,25000,17529157,20000000,95,5,2012
1000,2495,17436,71,118,0,7486906,27000000,106,6.8,2007
22000,24719,221000,495,111,12000,5300000,30000000,251,8.4,1984
860,2717,58967,169,218,10000,5306447,15000000,92,7.2,2009
527,735,32003,65,165,0,6109075,19430000,111,6.7,2009
497,1805,9338,167,100,209,16779636,28000000,97,4.8,2000
21000,23932,175962,336,223,0,4235837,15000000,103,7.6,2005
1000,2228,7772,55,42,145,1075288,22000000,101,6.1,1996
567,711,29591,118,38,0,6734844,17000000,112,5.9,1986
721,1805,20033,117,32,679,9975684,13000000,82,6.4,1998
405,847,10680,112,93,562,7739049,18000000,104,7.1,2004
327,1509,3914,47,53,153,13019253,23000000,88,5.6,2000
11000,13021,136367,975,584,39000,13303319,32000000,139,6.7,2011
11000,22516,136104,415,273,0,3904982,30000000,160,7.5,2007
14000,15337,92781,320,251,5000,5459824,26000000,137,7.6,2006
2000,4169,14315,101,64,201,16930185,29000000,99,5.3,2002
1000,3671,14473,81,30,0,7434726,23000000,98,6,1991
13000,15183,23928,100,34,0,13801755,20000000,94,6.6,1997
878,2165,11693,104,61,613,10397365,14000000,86,5.4,2001
12000,15209,9294,140,97,251,11614236,15000000,97,5.6,1999
2,4,21606,117,85,0,5532301,28000000,134,7,1997
849,2178,28606,262,140,0,14888028,30000000,93,5.1,2005
34000,34705,39764,148,276,17000,958319,21000000,91,6.7,2011
13000,16651,43903,194,119,5000,11008432,25000000,107,7.1,2005
691,1761,2061,34,13,501,8500000,20000000,98,5.4,1981
29000,63194,20163,71,45,1000,12782508,23000000,98,6.7,1996
738,1458,10895,150,32,0,13000000,24000000,118,5.2,1978
13000,14180,162067,316,92,0,17718223,25000000,93,6.6,2004
712,1673,8895,48,107,3000,15155772,18000000,94,5.7,2014
12000,15209,9294,140,97,251,11614236,15000000,97,5.6,1999
10000,12867,109873,320,328,33000,2412045,15000000,103,7.2,2010
1000,4186,49405,226,127,2000,4476235,27000000,101,6.4,2004
1000,1816,18366,219,60,0,18252684,30000000,114,6.9,1998
723,2368,7470,35,11,0,8508843,18000000,105,5.5,1989
805,1411,26767,121,148,0,16027866,25000000,96,5.1,2015
966,2661,13371,60,116,0,4360548,15000000,90,6.4,2009
738,1458,10895,150,32,0,13000000,24000000,118,5.2,1978
805,1466,46396,287,124,0,7837632,18000000,112,7.5,1997
1000,2429,2855,119,47,663,15911333,19000000,85,3.6,2000
400,896,92464,331,180,19000,11100000,25000000,99,7.3,1986
826,2689,39788,619,97,0,14249005,15000000,87,4.5,2001
3000,6861,11729,106,37,645,15062898,14000000,96,6,1998
746,2377,53471,224,208,29000,15608545,15000000,107,5.4,2012
8000,11078,11768,148,84,492,15427192,16000000,96,5.6,2000
985,3065,11211,92,52,215,13973532,25000000,85,5.1,2002
11000,14843,25165,155,128,827,3203044,18000000,108,6.4,2003
716,1843,11347,28,122,5000,99462,33000000,105,7.1,2013
22000,23409,49855,117,160,10000,8855646,21000000,99,7.2,2009
957,1757,258078,911,297,23000,13782838,15000000,109,8.2,1982
527,735,32003,65,165,0,6109075,19430000,111,6.7,2009
3000,5023,5668,50,20,491,10070000,25000000,105,6.2,1996
477,2312,3668,85,49,157,5217498,15000000,105,4.6,2000
12000,14978,36914,86,98,0,183125,35000000,96,5.5,2012
13000,14180,162067,316,92,0,17718223,25000000,93,6.6,2004
2000,4843,16372,121,81,311,10544143,20000000,98,6.1,1999
6000,8484,235992,1768,252,16000,7219578,15000000,147,8,2001
786,2730,6838,117,76,924,8054280,20000000,108,6.3,2004
1000,2228,7772,55,42,145,1075288,22000000,101,6.1,1996
957,1757,258078,911,297,23000,13782838,15000000,109,8.2,1982
3,5,11101,159,95,633,630779,35000000,148,6.8,1999
12000,15209,9294,140,97,251,11614236,15000000,97,5.6,1999
13000,15183,23928,100,34,0,13801755,20000000,94,6.6,1997
2000,5470,16437,68,169,0,9639242,24000000,89,4.9,2011
24000,24805,92712,294,300,6000,16204793,16000000,107,5.1,2009
372,927,1400,41,25,346,8000000,18000000,98,5,1981
798,2537,16411,136,160,0,14637490,25000000,107,4.8,2010
23000,27381,88590,419,157,0,6855137,17000000,122,7.4,2006
20000,22040,14786,103,36,638,18653615,23000000,114,6.1,1999
12000,13809,64944,212,280,6000,1697956,20000000,122,6.7,2009
11000,22516,136104,415,273,0,3904982,30000000,160,7.5,2007
670,1562,2295,40,16,284,15593,21000000,102,5.8,1999
1000,2518,30682,194,42,0,4193025,15000000,95,6.8,1999
465,730,16268,108,145,0,4930798,17000000,83,4.1,2012
29,44,54104,199,337,38000,252652,19900000,103,7,2010
11000,15713,58957,91,151,0,13987482,20000000,117,6,2011
11000,11623,190132,801,308,15000,3675072,26000000,107,7.3,2007
876,1282,16995,163,99,0,13038660,25000000,145,7.3,1999
1000,1816,18366,219,60,0,18252684,30000000,114,6.9,1998
925,2913,7159,88,42,247,10443316,15000000,91,5,1998
23000,25088,261317,1137,146,20000,1190018,20000000,107,7.5,2002
901,3464,126464,175,94,0,234760500,14000000,105,7.3,1984
11000,12643,837759,900,223,17000,290158751,18000000,127,8.8,1980
13000,27114,98472,492,233,0,37899638,88000000,118,5.9,2005
940,4310,45031,376,128,0,27796042,72000000,152,6.9,2001
1000,2521,24868,216,61,964,18318000,80000000,97,5.8,1998
752,3133,4102,89,62,53,6712451,90000000,104,4.4,2001
490,1195,40751,239,78,881,17010646,84000000,94,2.2,2005
2000,5780,16832,267,106,701,22406362,107000000,137,6,2004
1000,3175,68722,191,188,0,24004159,110000000,120,5.8,2004
4000,7067,197584,918,435,42000,36381716,82000000,128,6.1,2011
326,809,534262,1314,242,39000,33201661,77000000,122,8.4,2001
766,4346,56403,376,79,0,17593391,80000000,177,6,1997
827,3144,87451,660,212,0,40198710,100000000,87,3.3,2004
563,683,25843,64,101,941,15131330,86000000,94,6,2006
1000,3611,21102,169,61,1000,11000000,98000000,124,5.6,1995
13000,13761,110364,261,266,0,35024475,100000000,115,6.9,2010
3000,5593,24183,160,101,665,20950820,80000000,91,5.7,2003
15000,15838,394317,1051,221,23000,233630478,90000000,143,7.7,2000
710,1675,271592,2335,208,0,227965690,72000000,106,6.7,2002
20000,20952,405973,1055,289,0,214948780,110000000,134,7.5,2003
11000,35672,387616,858,232,0,261970615,100000000,174,7.4,2002
22000,24938,211296,428,141,0,279167575,80000000,106,6.3,2004
283,662,142496,399,222,0,127706877,85000000,107,7.1,2007
14000,43499,256928,288,238,0,117144465,85000000,122,6.9,2007
18000,36237,166693,276,298,19000,126149655,85000000,115,6.8,2012
21000,23018,272789,285,307,25000,100448498,65000000,95,6.6,2010
18000,37605,229574,436,292,56000,101530738,55000000,132,7.2,2014
11000,14087,156717,357,140,0,105807520,50000000,116,6.4,2003
4000,8315,102167,483,183,0,118683135,52000000,106,5.8,2006
2000,3698,667983,877,213,18000,125603360,60000000,103,8.1,1998
3000,5713,162331,332,153,0,104354205,55000000,74,6.3,2003
49000,64259,182802,363,75,13000,119654900,70000000,142,6.7,1991
11000,14087,156717,357,140,0,105807520,50000000,116,6.4,2003
11000,12831,72326,116,144,0,109993847,80000000,99,6.1,2008
18000,31782,203154,698,358,45000,98895417,70000000,119,6.5,2013
3000,4394,16385,100,143,0,100169068,80000000,80,4.6,2010
912,2856,55901,503,241,0,103338338,70000000,130,6.5,2006
593,2908,76331,269,121,0,108200000,54000000,116,6.8,1980
769,2938,103589,351,322,35000,115603980,65000000,137,7.2,2014
24000,35209,270238,452,391,19000,83813460,25000000,108,7.4,2009
884,2288,186982,491,253,0,80050171,20000000,105,6.9,2007
759,2462,216486,242,61,0,72217000,12000000,78,6.9,1994
2000,5032,245989,554,159,0,86049418,17000000,97,7,2004
2000,4729,17829,99,100,0,94497271,20000000,91,3.7,2008
1000,4516,31760,140,131,0,79566871,30000000,102,4.2,2009
640000,656730,267921,577,181,0,84136909,26000000,98,7.2,2004
1000,5306,11600,64,56,7000,70492685,17000000,123,6.7,2013
1000,1178,90360,147,105,0,84300000,2600000,88,7.5,1940
640000,656730,267921,577,181,0,84136909,26000000,98,7.2,2004
2000,6657,26434,174,92,0,75597042,20000000,127,7,2002
12000,14762,58743,192,110,0,76400000,17000000,105,6.6,1984
14000,15233,865020,1273,174,41000,96067179,22000000,185,8.9,1993
14000,15233,865020,1273,174,41000,96067179,22000000,185,8.9,1993
15000,19809,117719,306,405,39000,83299761,35000000,125,7.5,2013
14000,16999,171568,571,168,0,71500556,26000000,97,6.7,2001
640000,656730,267921,577,181,0,84136909,26000000,98,7.2,2004
642,1026,140740,151,148,0,80276912,35000000,101,6.1,2008
13000,16179,97045,285,218,55000,86208010,35000000,109,5.7,2014
19000,20295,467613,608,454,165000,91121452,14000000,114,8.1,2014
1000,4134,188679,864,250,0,87025093,4000000,95,6.6,2005
12000,16230,55513,188,112,0,74888996,30000000,110,7.2,1991
989,2654,35965,144,148,11000,84518155,20000000,100,4.9,2014
16,16,71321,230,99,3000,76400000,2280000,120,7.8,1940
10000,12098,76842,173,72,4000,70001698,14000000,145,7.2,1989
399,663,21034,153,82,23000,91443253,12000000,99,5.8,2014
1000,1178,90360,147,105,0,84300000,2600000,88,7.5,1940
10000,12676,213898,250,223,36000,64998368,17000000,112,7.2,2012
49000,62644,32399,79,156,0,63992328,135000000,100,5.9,2011
921,2652,17590,112,132,0,21379315,150000000,88,5.4,2011
778,2205,30210,214,112,0,11905519,200000000,111,7.1,2005
12000,15015,72259,788,166,0,32131830,137000000,106,6.4,2001
17000,47334,139593,720,384,44000,47375327,176000000,127,5.4,2015
15000,16264,120798,444,188,10000,665426,165000000,100,6.6,2004
26000,46719,37750,134,231,16000,47952020,115000000,120,6.1,2016
23000,26489,128694,657,314,51000,65007045,140000000,150,6.1,2014
17000,17883,70133,214,165,26000,177343675,135000000,94,6.7,2015
17000,17883,70121,214,165,26000,177343675,135000000,94,6.7,2015
17000,17883,70136,214,165,26000,177343675,135000000,94,6.7,2015
1000,3285,146019,119,167,0,179982968,150000000,89,6.7,2008
17000,17883,70136,214,165,26000,177343675,135000000,94,6.7,2015
6000,9125,470483,2301,400,0,167007184,150000000,144,8,2006
851,2444,119213,154,211,17000,216366733,145000000,93,6.9,2012
10000,14363,317542,620,521,45000,208543795,170000000,130,7.6,2014
1000,2943,68565,300,108,0,50300000,30000000,131,6.3,1985
15000,16944,178118,355,459,55000,72306065,40000000,142,7.6,2015
18000,45271,259519,431,117,11000,60984028,57000000,136,7.5,1997
11,37,85423,374,122,12000,49968653,28000000,82,6.9,2001
2000,7039,52805,209,70,0,54967359,40000000,98,5.2,1997
433,698,113472,442,125,0,70405498,40000000,206,8,1991
18000,33615,148490,537,140,0,50173190,48000000,120,7.4,2001
8000,10493,62037,148,49,0,61490000,26000000,115,6.6,1990
12000,15889,59435,323,161,0,55808744,53000000,118,5.7,2005
713,1852,76882,106,170,29000,60443237,25000000,101,6.5,2012
152,568,114925,234,214,13000,63411478,39000000,107,7.1,2009
954,2179,7900,34,16,263,49851591,40000000,116,5.9,1986
17000,17860,28041,111,177,0,55291815,35000000,92,6,2016
23000,63986,844052,1100,341,49000,53082743,40000000,130,8.5,2006
954,2179,7900,34,16,263,49851591,40000000,116,5.9,1986
18000,18693,114321,548,175,0,52320979,40000000,99,6.8,2006
749,1948,104301,269,339,28000,47307550,45000000,141,6.5,2012
303,337,184641,326,452,81000,66359959,35000000,98,6.9,2013
16000,27237,54631,192,69,0,70960517,35000000,135,7.5,1995
956,2998,156225,502,206,0,62318875,50000000,102,6.8,2006
1000,2325,35508,211,118,0,57887882,50000000,106,6.1,2004
154,428,81444,192,165,955,60470220,50000000,114,6.2,2003
593,2329,49934,224,95,0,60000000,39000000,125,4.9,1983
844,2118,72085,263,112,2000,62300000,28000000,127,6.8,1981
3000,3361,20615,44,83,0,57011847,40000000,89,5.9,2013
18000,20143,63923,156,61,0,48169908,33000000,202,7.7,1992
534,1543,207686,776,210,0,55473600,50000000,145,6.4,1992
22000,37076,154487,259,73,0,53300852,44000000,147,7.5,1996
46000,49912,272839,1018,596,114000,54116191,44000000,187,7.9,2015
22000,35694,106755,173,222,27000,63910583,28000000,105,6.6,2013
22000,23562,16984,96,154,0,63034755,29000000,99,5.3,2016
15000,16758,217507,325,253,0,62877175,30000000,118,7.2,2008
13000,14747,109188,625,358,0,50815288,50000000,128,7,2005
13000,25599,78974,173,49,8000,58422650,55000000,104,6.4,1992
18000,30571,114294,187,196,12000,54414716,42000000,116,6.3,2014
18000,20970,98899,394,129,0,71026631,36000000,116,7,2002
16000,17347,561773,871,366,28000,148085755,33000000,116,8.2,2008
14000,26002,145974,611,238,10000,143704210,52000000,108,6.3,2008
40000,62837,101178,779,321,90000,127997349,50000000,125,6,2014
14000,16410,238671,461,358,63000,139852971,45000000,98,6.3,2012
901,5265,34561,116,80,1000,139225854,60000000,104,5.5,2002
4000,5826,97664,232,275,17000,134455175,35000000,120,5.7,2013
16000,17347,561773,871,366,28000,148085755,33000000,116,8.2,2008
1000,2505,30058,236,121,800,132541238,33000000,105,5.5,2003
13000,15662,117606,217,96,0,150415432,44000000,96,6.4,1985
49000,74382,80580,375,55,0,135014968,50000000,115,6.7,1998
